id,work_activity
1441,Analyze and understand data to influence product or business decisions
1441,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1447,Build and/or run a machine learning service that operationally improves my product or workflows
1447,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1447,Do research that advances the state of the art of machine learning
1447,Analyze and understand data to influence product or business decisions
1447,Build prototypes to explore applying machine learning to new areas
1447,Experimentation and iteration to improve existing ML models
1452,None of these activities are an important part of my role at work
1456,None of these activities are an important part of my role at work
1462,Build prototypes to explore applying machine learning to new areas
1462,Build and/or run a machine learning service that operationally improves my product or workflows
1463,Analyze and understand data to influence product or business decisions
1469,None of these activities are an important part of my role at work
1470,Do research that advances the state of the art of machine learning
1471,Analyze and understand data to influence product or business decisions
1471,Do research that advances the state of the art of machine learning
1471,Build and/or run a machine learning service that operationally improves my product or workflows
1471,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1471,Build prototypes to explore applying machine learning to new areas
1471,Experimentation and iteration to improve existing ML models
1472,Build and/or run a machine learning service that operationally improves my product or workflows
1473,Analyze and understand data to influence product or business decisions
1473,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1476,Analyze and understand data to influence product or business decisions
1476,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1479,Analyze and understand data to influence product or business decisions
1479,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1485,None of these activities are an important part of my role at work
1492,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1492,Analyze and understand data to influence product or business decisions
1494,None of these activities are an important part of my role at work
1495,Analyze and understand data to influence product or business decisions
1500,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1500,Analyze and understand data to influence product or business decisions
1500,Experimentation and iteration to improve existing ML models
1500,Do research that advances the state of the art of machine learning
1500,Build prototypes to explore applying machine learning to new areas
1502,Analyze and understand data to influence product or business decisions
1505,Build prototypes to explore applying machine learning to new areas
1505,Experimentation and iteration to improve existing ML models
1505,Build and/or run a machine learning service that operationally improves my product or workflows
1506,Analyze and understand data to influence product or business decisions
1506,Do research that advances the state of the art of machine learning
1506,Build prototypes to explore applying machine learning to new areas
1506,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1513,None of these activities are an important part of my role at work
1516,None of these activities are an important part of my role at work
1518,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1518,Build and/or run a machine learning service that operationally improves my product or workflows
1518,Experimentation and iteration to improve existing ML models
1518,Build prototypes to explore applying machine learning to new areas
1518,Analyze and understand data to influence product or business decisions
1518,Do research that advances the state of the art of machine learning
1522,Do research that advances the state of the art of machine learning
1522,Analyze and understand data to influence product or business decisions
1522,Experimentation and iteration to improve existing ML models
1522,Build prototypes to explore applying machine learning to new areas
1524,Analyze and understand data to influence product or business decisions
1525,None of these activities are an important part of my role at work
1526,Analyze and understand data to influence product or business decisions
1529,Build and/or run a machine learning service that operationally improves my product or workflows
1535,Analyze and understand data to influence product or business decisions
1538,Build and/or run a machine learning service that operationally improves my product or workflows
1538,Analyze and understand data to influence product or business decisions
1549,Build prototypes to explore applying machine learning to new areas
1549,Experimentation and iteration to improve existing ML models
1549,Do research that advances the state of the art of machine learning
1553,Experimentation and iteration to improve existing ML models
1553,Build prototypes to explore applying machine learning to new areas
1555,None of these activities are an important part of my role at work
1557,Do research that advances the state of the art of machine learning
1557,Build and/or run a machine learning service that operationally improves my product or workflows
1557,Build prototypes to explore applying machine learning to new areas
1557,Experimentation and iteration to improve existing ML models
1558,Analyze and understand data to influence product or business decisions
1558,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1560,Build prototypes to explore applying machine learning to new areas
1560,Analyze and understand data to influence product or business decisions
1566,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1566,Build prototypes to explore applying machine learning to new areas
1566,Build and/or run a machine learning service that operationally improves my product or workflows
1568,None of these activities are an important part of my role at work
1571,Build and/or run a machine learning service that operationally improves my product or workflows
1571,Analyze and understand data to influence product or business decisions
1571,Experimentation and iteration to improve existing ML models
1573,None of these activities are an important part of my role at work
1574,Build prototypes to explore applying machine learning to new areas
1574,Analyze and understand data to influence product or business decisions
1574,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1577,Build prototypes to explore applying machine learning to new areas
1577,Experimentation and iteration to improve existing ML models
1577,Do research that advances the state of the art of machine learning
1584,Build prototypes to explore applying machine learning to new areas
1584,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1586,Build and/or run a machine learning service that operationally improves my product or workflows
1586,Experimentation and iteration to improve existing ML models
1586,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1586,Build prototypes to explore applying machine learning to new areas
1586,Analyze and understand data to influence product or business decisions
1593,Experimentation and iteration to improve existing ML models
1593,Analyze and understand data to influence product or business decisions
1593,Build and/or run a machine learning service that operationally improves my product or workflows
1596,Analyze and understand data to influence product or business decisions
1596,Build prototypes to explore applying machine learning to new areas
1596,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1603,Build and/or run a machine learning service that operationally improves my product or workflows
1603,Build prototypes to explore applying machine learning to new areas
1603,Analyze and understand data to influence product or business decisions
1603,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1603,Experimentation and iteration to improve existing ML models
1605,Analyze and understand data to influence product or business decisions
1607,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1607,Analyze and understand data to influence product or business decisions
1610,Build prototypes to explore applying machine learning to new areas
1610,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1610,Experimentation and iteration to improve existing ML models
1610,Analyze and understand data to influence product or business decisions
1611,Analyze and understand data to influence product or business decisions
1614,Do research that advances the state of the art of machine learning
1614,Build prototypes to explore applying machine learning to new areas
1614,Experimentation and iteration to improve existing ML models
1618,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1619,Experimentation and iteration to improve existing ML models
1619,Analyze and understand data to influence product or business decisions
1619,Build prototypes to explore applying machine learning to new areas
1621,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1621,Analyze and understand data to influence product or business decisions
1622,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1622,Build and/or run a machine learning service that operationally improves my product or workflows
1622,Analyze and understand data to influence product or business decisions
1622,Experimentation and iteration to improve existing ML models
1622,Build prototypes to explore applying machine learning to new areas
1627,Build and/or run a machine learning service that operationally improves my product or workflows
1627,Build prototypes to explore applying machine learning to new areas
1627,Analyze and understand data to influence product or business decisions
1627,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1629,Build and/or run a machine learning service that operationally improves my product or workflows
1629,Experimentation and iteration to improve existing ML models
1629,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1629,Build prototypes to explore applying machine learning to new areas
1633,Other
1640,Build prototypes to explore applying machine learning to new areas
1640,Build and/or run a machine learning service that operationally improves my product or workflows
1640,Do research that advances the state of the art of machine learning
1640,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1642,Analyze and understand data to influence product or business decisions
1642,Do research that advances the state of the art of machine learning
1642,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1645,Analyze and understand data to influence product or business decisions
1651,Build prototypes to explore applying machine learning to new areas
1651,Analyze and understand data to influence product or business decisions
1651,Experimentation and iteration to improve existing ML models
1655,Analyze and understand data to influence product or business decisions
1655,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1655,Build prototypes to explore applying machine learning to new areas
1655,Experimentation and iteration to improve existing ML models
1655,Build and/or run a machine learning service that operationally improves my product or workflows
1656,None of these activities are an important part of my role at work
1659,None of these activities are an important part of my role at work
1662,None of these activities are an important part of my role at work
1670,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1670,Build prototypes to explore applying machine learning to new areas
1670,Analyze and understand data to influence product or business decisions
1671,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1671,Build and/or run a machine learning service that operationally improves my product or workflows
1674,Analyze and understand data to influence product or business decisions
1677,Do research that advances the state of the art of machine learning
1678,Do research that advances the state of the art of machine learning
1678,Build and/or run a machine learning service that operationally improves my product or workflows
1678,Experimentation and iteration to improve existing ML models
1678,Analyze and understand data to influence product or business decisions
1678,Build prototypes to explore applying machine learning to new areas
1682,None of these activities are an important part of my role at work
1689,Build prototypes to explore applying machine learning to new areas
1690,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1690,Analyze and understand data to influence product or business decisions
1690,Experimentation and iteration to improve existing ML models
1691,Analyze and understand data to influence product or business decisions
1691,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1696,None of these activities are an important part of my role at work
1697,Build and/or run a machine learning service that operationally improves my product or workflows
1697,Build prototypes to explore applying machine learning to new areas
1697,Analyze and understand data to influence product or business decisions
1697,Do research that advances the state of the art of machine learning
1697,Experimentation and iteration to improve existing ML models
1698,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1698,Build prototypes to explore applying machine learning to new areas
1698,Analyze and understand data to influence product or business decisions
1698,Build and/or run a machine learning service that operationally improves my product or workflows
1702,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1702,Analyze and understand data to influence product or business decisions
1702,Experimentation and iteration to improve existing ML models
1702,Build and/or run a machine learning service that operationally improves my product or workflows
1708,None of these activities are an important part of my role at work
1710,Other
1711,Analyze and understand data to influence product or business decisions
1714,Other
1717,Analyze and understand data to influence product or business decisions
1717,Do research that advances the state of the art of machine learning
1718,Do research that advances the state of the art of machine learning
1720,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1722,Analyze and understand data to influence product or business decisions
1723,Other
1724,None of these activities are an important part of my role at work
1726,Analyze and understand data to influence product or business decisions
1728,None of these activities are an important part of my role at work
1730,None of these activities are an important part of my role at work
1731,None of these activities are an important part of my role at work
1732,Analyze and understand data to influence product or business decisions
1735,Analyze and understand data to influence product or business decisions
1736,Experimentation and iteration to improve existing ML models
1736,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1736,Build prototypes to explore applying machine learning to new areas
1736,Build and/or run a machine learning service that operationally improves my product or workflows
1736,Do research that advances the state of the art of machine learning
1736,Analyze and understand data to influence product or business decisions
1737,Build and/or run a machine learning service that operationally improves my product or workflows
1737,Analyze and understand data to influence product or business decisions
1737,Experimentation and iteration to improve existing ML models
1737,Build prototypes to explore applying machine learning to new areas
1737,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1738,Experimentation and iteration to improve existing ML models
1738,Do research that advances the state of the art of machine learning
1739,None of these activities are an important part of my role at work
1743,None of these activities are an important part of my role at work
1747,Experimentation and iteration to improve existing ML models
1747,Build prototypes to explore applying machine learning to new areas
1747,Analyze and understand data to influence product or business decisions
1748,None of these activities are an important part of my role at work
1749,None of these activities are an important part of my role at work
1750,Analyze and understand data to influence product or business decisions
1751,Analyze and understand data to influence product or business decisions
1751,Experimentation and iteration to improve existing ML models
1751,Build prototypes to explore applying machine learning to new areas
1754,Build prototypes to explore applying machine learning to new areas
1754,Experimentation and iteration to improve existing ML models
1758,Do research that advances the state of the art of machine learning
1758,Build and/or run a machine learning service that operationally improves my product or workflows
1758,Experimentation and iteration to improve existing ML models
1760,None of these activities are an important part of my role at work
1765,Do research that advances the state of the art of machine learning
1765,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1765,Build prototypes to explore applying machine learning to new areas
1765,Experimentation and iteration to improve existing ML models
1765,Analyze and understand data to influence product or business decisions
1765,Build and/or run a machine learning service that operationally improves my product or workflows
1771,Other
1771,Experimentation and iteration to improve existing ML models
1772,Analyze and understand data to influence product or business decisions
1772,Do research that advances the state of the art of machine learning
1773,Build prototypes to explore applying machine learning to new areas
1773,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1773,Analyze and understand data to influence product or business decisions
1775,Analyze and understand data to influence product or business decisions
1775,Experimentation and iteration to improve existing ML models
1775,Build prototypes to explore applying machine learning to new areas
1775,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1778,Build prototypes to explore applying machine learning to new areas
1781,Other
1782,Build and/or run a machine learning service that operationally improves my product or workflows
1782,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1784,Experimentation and iteration to improve existing ML models
1784,Build and/or run a machine learning service that operationally improves my product or workflows
1784,Do research that advances the state of the art of machine learning
1789,Analyze and understand data to influence product or business decisions
1789,Do research that advances the state of the art of machine learning
1789,Experimentation and iteration to improve existing ML models
1791,Other
1791,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1791,Analyze and understand data to influence product or business decisions
1796,Analyze and understand data to influence product or business decisions
1797,None of these activities are an important part of my role at work
1802,Build and/or run a machine learning service that operationally improves my product or workflows
1802,Experimentation and iteration to improve existing ML models
1802,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1803,Do research that advances the state of the art of machine learning
1803,Build prototypes to explore applying machine learning to new areas
1803,Experimentation and iteration to improve existing ML models
1803,Analyze and understand data to influence product or business decisions
1807,Analyze and understand data to influence product or business decisions
1807,Build prototypes to explore applying machine learning to new areas
1807,Do research that advances the state of the art of machine learning
1811,Build prototypes to explore applying machine learning to new areas
1811,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1811,Do research that advances the state of the art of machine learning
1811,Build and/or run a machine learning service that operationally improves my product or workflows
1811,Analyze and understand data to influence product or business decisions
1814,Experimentation and iteration to improve existing ML models
1814,Build prototypes to explore applying machine learning to new areas
1815,Build prototypes to explore applying machine learning to new areas
1815,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1815,Analyze and understand data to influence product or business decisions
1816,Build and/or run a machine learning service that operationally improves my product or workflows
1816,Build prototypes to explore applying machine learning to new areas
1816,Analyze and understand data to influence product or business decisions
1816,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1819,Analyze and understand data to influence product or business decisions
1819,Build prototypes to explore applying machine learning to new areas
1819,Do research that advances the state of the art of machine learning
1819,Experimentation and iteration to improve existing ML models
1820,Analyze and understand data to influence product or business decisions
1821,Analyze and understand data to influence product or business decisions
1821,Build prototypes to explore applying machine learning to new areas
1821,Do research that advances the state of the art of machine learning
1821,Experimentation and iteration to improve existing ML models
1822,Analyze and understand data to influence product or business decisions
1825,Do research that advances the state of the art of machine learning
1825,Build prototypes to explore applying machine learning to new areas
1825,Experimentation and iteration to improve existing ML models
1825,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1825,Build and/or run a machine learning service that operationally improves my product or workflows
1825,Analyze and understand data to influence product or business decisions
1833,Analyze and understand data to influence product or business decisions
1833,Experimentation and iteration to improve existing ML models
1833,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1833,Build and/or run a machine learning service that operationally improves my product or workflows
1833,Build prototypes to explore applying machine learning to new areas
1835,None of these activities are an important part of my role at work
1837,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1838,Build and/or run a machine learning service that operationally improves my product or workflows
1838,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1838,Analyze and understand data to influence product or business decisions
1838,Build prototypes to explore applying machine learning to new areas
1838,Experimentation and iteration to improve existing ML models
1839,None of these activities are an important part of my role at work
1842,Analyze and understand data to influence product or business decisions
1843,None of these activities are an important part of my role at work
1845,Build and/or run a machine learning service that operationally improves my product or workflows
1845,Build prototypes to explore applying machine learning to new areas
1845,Analyze and understand data to influence product or business decisions
1845,Experimentation and iteration to improve existing ML models
1849,Analyze and understand data to influence product or business decisions
1849,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1850,None of these activities are an important part of my role at work
1851,Build prototypes to explore applying machine learning to new areas
1851,Build and/or run a machine learning service that operationally improves my product or workflows
1851,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1851,Analyze and understand data to influence product or business decisions
1852,None of these activities are an important part of my role at work
1853,None of these activities are an important part of my role at work
1855,Analyze and understand data to influence product or business decisions
1863,Analyze and understand data to influence product or business decisions
1864,Analyze and understand data to influence product or business decisions
1865,Experimentation and iteration to improve existing ML models
1865,Build prototypes to explore applying machine learning to new areas
1865,Do research that advances the state of the art of machine learning
1868,Build and/or run a machine learning service that operationally improves my product or workflows
1868,Experimentation and iteration to improve existing ML models
1868,Do research that advances the state of the art of machine learning
1868,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1868,Analyze and understand data to influence product or business decisions
1868,Build prototypes to explore applying machine learning to new areas
1873,Experimentation and iteration to improve existing ML models
1873,Analyze and understand data to influence product or business decisions
1874,Do research that advances the state of the art of machine learning
1875,Build prototypes to explore applying machine learning to new areas
1875,Do research that advances the state of the art of machine learning
1882,None of these activities are an important part of my role at work
1883,None of these activities are an important part of my role at work
1884,Analyze and understand data to influence product or business decisions
1884,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1885,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1885,Analyze and understand data to influence product or business decisions
1886,Build prototypes to explore applying machine learning to new areas
1886,Do research that advances the state of the art of machine learning
1886,Experimentation and iteration to improve existing ML models
1886,Analyze and understand data to influence product or business decisions
1889,None of these activities are an important part of my role at work
1890,None of these activities are an important part of my role at work
1891,Build prototypes to explore applying machine learning to new areas
1891,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1891,Build and/or run a machine learning service that operationally improves my product or workflows
1894,Analyze and understand data to influence product or business decisions
1894,Experimentation and iteration to improve existing ML models
1894,Do research that advances the state of the art of machine learning
1898,Analyze and understand data to influence product or business decisions
1902,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1902,Analyze and understand data to influence product or business decisions
1902,Do research that advances the state of the art of machine learning
1902,Build and/or run a machine learning service that operationally improves my product or workflows
1902,Experimentation and iteration to improve existing ML models
1902,Build prototypes to explore applying machine learning to new areas
1907,None of these activities are an important part of my role at work
1912,None of these activities are an important part of my role at work
1915,Experimentation and iteration to improve existing ML models
1915,Do research that advances the state of the art of machine learning
1916,None of these activities are an important part of my role at work
1918,Build and/or run a machine learning service that operationally improves my product or workflows
1918,Build prototypes to explore applying machine learning to new areas
1918,Experimentation and iteration to improve existing ML models
1922,Experimentation and iteration to improve existing ML models
1922,Do research that advances the state of the art of machine learning
1922,Build prototypes to explore applying machine learning to new areas
1923,Analyze and understand data to influence product or business decisions
1924,Build prototypes to explore applying machine learning to new areas
1924,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1927,Build and/or run a machine learning service that operationally improves my product or workflows
1928,None of these activities are an important part of my role at work
1934,Experimentation and iteration to improve existing ML models
1935,None of these activities are an important part of my role at work
1937,None of these activities are an important part of my role at work
1938,Experimentation and iteration to improve existing ML models
1938,Build and/or run a machine learning service that operationally improves my product or workflows
1938,Analyze and understand data to influence product or business decisions
1943,Analyze and understand data to influence product or business decisions
1943,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1945,None of these activities are an important part of my role at work
1946,Build and/or run a machine learning service that operationally improves my product or workflows
1946,Analyze and understand data to influence product or business decisions
1946,Build prototypes to explore applying machine learning to new areas
1946,Do research that advances the state of the art of machine learning
1946,Experimentation and iteration to improve existing ML models
1954,Analyze and understand data to influence product or business decisions
1954,Other
1957,Analyze and understand data to influence product or business decisions
1958,Build and/or run a machine learning service that operationally improves my product or workflows
1958,Analyze and understand data to influence product or business decisions
1959,Analyze and understand data to influence product or business decisions
1968,Analyze and understand data to influence product or business decisions
1972,Analyze and understand data to influence product or business decisions
1972,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1974,Experimentation and iteration to improve existing ML models
1974,Build prototypes to explore applying machine learning to new areas
1974,Analyze and understand data to influence product or business decisions
1974,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1975,None of these activities are an important part of my role at work
1976,None of these activities are an important part of my role at work
1977,None of these activities are an important part of my role at work
1978,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1979,Build prototypes to explore applying machine learning to new areas
1979,Analyze and understand data to influence product or business decisions
1980,Analyze and understand data to influence product or business decisions
1983,Analyze and understand data to influence product or business decisions
1984,None of these activities are an important part of my role at work
1986,Build prototypes to explore applying machine learning to new areas
1986,Build and/or run a machine learning service that operationally improves my product or workflows
1986,Experimentation and iteration to improve existing ML models
1986,Analyze and understand data to influence product or business decisions
1986,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1990,Build and/or run a machine learning service that operationally improves my product or workflows
1990,Analyze and understand data to influence product or business decisions
1990,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
1991,None of these activities are an important part of my role at work
1992,Analyze and understand data to influence product or business decisions
1993,Analyze and understand data to influence product or business decisions
1993,Build prototypes to explore applying machine learning to new areas
1993,Experimentation and iteration to improve existing ML models
1993,Build and/or run a machine learning service that operationally improves my product or workflows
2006,Analyze and understand data to influence product or business decisions
2011,None of these activities are an important part of my role at work
2013,Build and/or run a machine learning service that operationally improves my product or workflows
2013,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2014,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2014,Analyze and understand data to influence product or business decisions
2016,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2016,Analyze and understand data to influence product or business decisions
2016,Build prototypes to explore applying machine learning to new areas
2018,None of these activities are an important part of my role at work
2020,Analyze and understand data to influence product or business decisions
2020,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2022,Build and/or run a machine learning service that operationally improves my product or workflows
2022,Do research that advances the state of the art of machine learning
2022,Build prototypes to explore applying machine learning to new areas
2024,None of these activities are an important part of my role at work
2026,Analyze and understand data to influence product or business decisions
2027,None of these activities are an important part of my role at work
2030,Analyze and understand data to influence product or business decisions
2030,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2030,Build and/or run a machine learning service that operationally improves my product or workflows
2030,Build prototypes to explore applying machine learning to new areas
2032,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2036,Build and/or run a machine learning service that operationally improves my product or workflows
2036,Build prototypes to explore applying machine learning to new areas
2036,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2036,Analyze and understand data to influence product or business decisions
2038,None of these activities are an important part of my role at work
2040,Do research that advances the state of the art of machine learning
2040,Build and/or run a machine learning service that operationally improves my product or workflows
2040,Experimentation and iteration to improve existing ML models
2041,Analyze and understand data to influence product or business decisions
2044,Other
2045,Build prototypes to explore applying machine learning to new areas
2045,Experimentation and iteration to improve existing ML models
2045,Do research that advances the state of the art of machine learning
2046,None of these activities are an important part of my role at work
2047,Build prototypes to explore applying machine learning to new areas
2047,Analyze and understand data to influence product or business decisions
2047,Other
2051,Analyze and understand data to influence product or business decisions
2051,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2053,None of these activities are an important part of my role at work
2055,Do research that advances the state of the art of machine learning
2055,Experimentation and iteration to improve existing ML models
2055,Build prototypes to explore applying machine learning to new areas
2055,Build and/or run a machine learning service that operationally improves my product or workflows
2057,Analyze and understand data to influence product or business decisions
2057,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2057,Build and/or run a machine learning service that operationally improves my product or workflows
2057,Experimentation and iteration to improve existing ML models
2057,Build prototypes to explore applying machine learning to new areas
2058,Experimentation and iteration to improve existing ML models
2058,Do research that advances the state of the art of machine learning
2058,Build prototypes to explore applying machine learning to new areas
2058,Build and/or run a machine learning service that operationally improves my product or workflows
2058,Analyze and understand data to influence product or business decisions
2058,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2061,Analyze and understand data to influence product or business decisions
2061,Experimentation and iteration to improve existing ML models
2063,Do research that advances the state of the art of machine learning
2063,Analyze and understand data to influence product or business decisions
2063,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2064,Analyze and understand data to influence product or business decisions
2064,Do research that advances the state of the art of machine learning
2068,Experimentation and iteration to improve existing ML models
2068,Analyze and understand data to influence product or business decisions
2073,Analyze and understand data to influence product or business decisions
2077,Experimentation and iteration to improve existing ML models
2077,Build and/or run a machine learning service that operationally improves my product or workflows
2077,Build prototypes to explore applying machine learning to new areas
2077,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2077,Analyze and understand data to influence product or business decisions
2082,Analyze and understand data to influence product or business decisions
2086,Build and/or run a machine learning service that operationally improves my product or workflows
2086,Do research that advances the state of the art of machine learning
2087,Analyze and understand data to influence product or business decisions
2091,Do research that advances the state of the art of machine learning
2093,Analyze and understand data to influence product or business decisions
2094,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2094,Analyze and understand data to influence product or business decisions
2096,None of these activities are an important part of my role at work
2097,Experimentation and iteration to improve existing ML models
2097,Do research that advances the state of the art of machine learning
2099,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2099,Analyze and understand data to influence product or business decisions
2100,Do research that advances the state of the art of machine learning
2100,Analyze and understand data to influence product or business decisions
2100,Build prototypes to explore applying machine learning to new areas
2100,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2100,Build and/or run a machine learning service that operationally improves my product or workflows
2100,Experimentation and iteration to improve existing ML models
2102,Analyze and understand data to influence product or business decisions
2107,Analyze and understand data to influence product or business decisions
2109,Build prototypes to explore applying machine learning to new areas
2109,Build and/or run a machine learning service that operationally improves my product or workflows
2109,Experimentation and iteration to improve existing ML models
2109,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
2109,Analyze and understand data to influence product or business decisions
2109,Do research that advances the state of the art of machine learning
2112,Analyze and understand data to influence product or business decisions
2112,Experimentation and iteration to improve existing ML models
2112,Do research that advances the state of the art of machine learning
2112,Build prototypes to explore applying machine learning to new areas
2113,Analyze and understand data to influence product or business decisions
2113,Build prototypes to explore applying machine learning to new areas
2114,Other
2115,Analyze and understand data to influence product or business decisions
2116,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
