id,algorithm
989,Convolutional Neural Networks
991,Bayesian Approaches
991,Decision Trees or Random Forests
991,Linear or Logistic Regression
993,Convolutional Neural Networks
994,Convolutional Neural Networks
994,"Transformer Networks (BERT, gpt-3, etc)"
996,Other
999,Graph Neural Networks
999,"Transformer Networks (BERT, gpt-3, etc)"
999,Generative Adversarial Networks
999,"Dense Neural Networks (MLPs, etc)"
999,Linear or Logistic Regression
999,Convolutional Neural Networks
999,"Autoencoder Networks (DAE, VAE, etc)"
1001,Linear or Logistic Regression
1003,Evolutionary Approaches
1004,Linear or Logistic Regression
1005,Bayesian Approaches
1005,Linear or Logistic Regression
1008,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1008,Linear or Logistic Regression
1011,Linear or Logistic Regression
1011,Decision Trees or Random Forests
1012,Decision Trees or Random Forests
1012,Linear or Logistic Regression
1013,Decision Trees or Random Forests
1013,"Transformer Networks (BERT, gpt-3, etc)"
1014,Decision Trees or Random Forests
1014,Bayesian Approaches
1014,"Dense Neural Networks (MLPs, etc)"
1014,Convolutional Neural Networks
1015,Decision Trees or Random Forests
1015,Convolutional Neural Networks
1015,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1015,Linear or Logistic Regression
1015,"Transformer Networks (BERT, gpt-3, etc)"
1017,Linear or Logistic Regression
1018,Recurrent Neural Networks
1020,Bayesian Approaches
1020,Linear or Logistic Regression
1020,"Transformer Networks (BERT, gpt-3, etc)"
1020,Decision Trees or Random Forests
1020,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1023,Linear or Logistic Regression
1023,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1023,Decision Trees or Random Forests
1024,"Dense Neural Networks (MLPs, etc)"
1024,Decision Trees or Random Forests
1024,Convolutional Neural Networks
1024,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1024,Linear or Logistic Regression
1027,Linear or Logistic Regression
1027,Decision Trees or Random Forests
1028,Linear or Logistic Regression
1029,Convolutional Neural Networks
1029,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1030,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1030,Linear or Logistic Regression
1030,Decision Trees or Random Forests
1031,Bayesian Approaches
1031,Decision Trees or Random Forests
1032,Linear or Logistic Regression
1034,Bayesian Approaches
1034,Convolutional Neural Networks
1034,Linear or Logistic Regression
1034,Decision Trees or Random Forests
1035,Linear or Logistic Regression
1035,Convolutional Neural Networks
1035,Recurrent Neural Networks
1035,Decision Trees or Random Forests
1037,Linear or Logistic Regression
1037,"Transformer Networks (BERT, gpt-3, etc)"
1037,Generative Adversarial Networks
1037,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1037,Convolutional Neural Networks
1037,Recurrent Neural Networks
1037,"Dense Neural Networks (MLPs, etc)"
1037,Decision Trees or Random Forests
1037,"Autoencoder Networks (DAE, VAE, etc)"
1038,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1039,Decision Trees or Random Forests
1039,Linear or Logistic Regression
1041,Linear or Logistic Regression
1042,"Autoencoder Networks (DAE, VAE, etc)"
1042,Linear or Logistic Regression
1042,Recurrent Neural Networks
1042,Convolutional Neural Networks
1042,"Dense Neural Networks (MLPs, etc)"
1043,Convolutional Neural Networks
1043,Recurrent Neural Networks
1043,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1043,Linear or Logistic Regression
1043,Decision Trees or Random Forests
1043,Bayesian Approaches
1044,Linear or Logistic Regression
1044,Decision Trees or Random Forests
1044,"Transformer Networks (BERT, gpt-3, etc)"
1044,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1046,Convolutional Neural Networks
1048,Linear or Logistic Regression
1050,Convolutional Neural Networks
1051,Convolutional Neural Networks
1051,Bayesian Approaches
1051,Evolutionary Approaches
1055,Decision Trees or Random Forests
1055,Convolutional Neural Networks
1055,Linear or Logistic Regression
1055,Recurrent Neural Networks
1055,"Dense Neural Networks (MLPs, etc)"
1056,Convolutional Neural Networks
1056,Generative Adversarial Networks
1056,"Autoencoder Networks (DAE, VAE, etc)"
1056,"Transformer Networks (BERT, gpt-3, etc)"
1056,Recurrent Neural Networks
1056,Bayesian Approaches
1056,Linear or Logistic Regression
1056,Decision Trees or Random Forests
1057,Linear or Logistic Regression
1058,Linear or Logistic Regression
1058,Decision Trees or Random Forests
1058,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1060,Linear or Logistic Regression
1060,Decision Trees or Random Forests
1060,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1060,Convolutional Neural Networks
1061,Recurrent Neural Networks
1061,Decision Trees or Random Forests
1061,"Transformer Networks (BERT, gpt-3, etc)"
1061,Bayesian Approaches
1061,Linear or Logistic Regression
1061,Convolutional Neural Networks
1062,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1062,Bayesian Approaches
1062,Graph Neural Networks
1062,Recurrent Neural Networks
1062,Linear or Logistic Regression
1063,Decision Trees or Random Forests
1063,Linear or Logistic Regression
1064,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1064,Linear or Logistic Regression
1064,Decision Trees or Random Forests
1067,Recurrent Neural Networks
1067,Decision Trees or Random Forests
1067,"Transformer Networks (BERT, gpt-3, etc)"
1068,Decision Trees or Random Forests
1068,Linear or Logistic Regression
1068,"Dense Neural Networks (MLPs, etc)"
1072,Linear or Logistic Regression
1073,Decision Trees or Random Forests
1073,Linear or Logistic Regression
1074,Decision Trees or Random Forests
1074,Linear or Logistic Regression
1074,Bayesian Approaches
1074,Convolutional Neural Networks
1076,Decision Trees or Random Forests
1076,Linear or Logistic Regression
1077,Convolutional Neural Networks
1077,Decision Trees or Random Forests
1077,Bayesian Approaches
1077,Linear or Logistic Regression
1077,"Transformer Networks (BERT, gpt-3, etc)"
1078,Linear or Logistic Regression
1079,"Dense Neural Networks (MLPs, etc)"
1079,Recurrent Neural Networks
1079,Decision Trees or Random Forests
1079,Linear or Logistic Regression
1079,Convolutional Neural Networks
1080,"Dense Neural Networks (MLPs, etc)"
1080,Bayesian Approaches
1080,Recurrent Neural Networks
1080,Linear or Logistic Regression
1080,Convolutional Neural Networks
1080,Decision Trees or Random Forests
1081,"Autoencoder Networks (DAE, VAE, etc)"
1081,Linear or Logistic Regression
1081,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1081,Decision Trees or Random Forests
1081,Bayesian Approaches
1082,Linear or Logistic Regression
1082,Convolutional Neural Networks
1082,Recurrent Neural Networks
1082,Decision Trees or Random Forests
1085,Convolutional Neural Networks
1085,Linear or Logistic Regression
1085,Decision Trees or Random Forests
1085,Evolutionary Approaches
1085,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1085,Recurrent Neural Networks
1086,Other
1089,Decision Trees or Random Forests
1091,Decision Trees or Random Forests
1091,"Dense Neural Networks (MLPs, etc)"
1091,Linear or Logistic Regression
1091,Convolutional Neural Networks
1091,"Autoencoder Networks (DAE, VAE, etc)"
1091,Recurrent Neural Networks
1092,Convolutional Neural Networks
1092,Linear or Logistic Regression
1092,Decision Trees or Random Forests
1092,"Dense Neural Networks (MLPs, etc)"
1092,Recurrent Neural Networks
1092,Evolutionary Approaches
1092,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1092,Bayesian Approaches
1093,Convolutional Neural Networks
1093,Linear or Logistic Regression
1093,Generative Adversarial Networks
1094,Graph Neural Networks
1094,Convolutional Neural Networks
1094,"Transformer Networks (BERT, gpt-3, etc)"
1094,"Dense Neural Networks (MLPs, etc)"
1095,Linear or Logistic Regression
1095,Decision Trees or Random Forests
1099,"Transformer Networks (BERT, gpt-3, etc)"
1099,Convolutional Neural Networks
1099,Linear or Logistic Regression
1099,Decision Trees or Random Forests
1099,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1099,"Dense Neural Networks (MLPs, etc)"
1099,Recurrent Neural Networks
1100,Decision Trees or Random Forests
1100,Linear or Logistic Regression
1101,Linear or Logistic Regression
1101,Bayesian Approaches
1102,Linear or Logistic Regression
1102,Convolutional Neural Networks
1102,Decision Trees or Random Forests
1103,Decision Trees or Random Forests
1106,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1107,Recurrent Neural Networks
1107,Convolutional Neural Networks
1110,Decision Trees or Random Forests
1110,Linear or Logistic Regression
1111,Other
1112,Linear or Logistic Regression
1112,Decision Trees or Random Forests
1112,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1112,Bayesian Approaches
1112,Convolutional Neural Networks
1112,"Dense Neural Networks (MLPs, etc)"
1112,Recurrent Neural Networks
1114,Linear or Logistic Regression
1115,Generative Adversarial Networks
1116,Decision Trees or Random Forests
1116,Recurrent Neural Networks
1116,Convolutional Neural Networks
1116,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1116,Linear or Logistic Regression
1117,"Dense Neural Networks (MLPs, etc)"
1117,Decision Trees or Random Forests
1117,Linear or Logistic Regression
1117,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1117,Bayesian Approaches
1126,Decision Trees or Random Forests
1126,Evolutionary Approaches
1126,Bayesian Approaches
1126,Linear or Logistic Regression
1126,"Transformer Networks (BERT, gpt-3, etc)"
1126,"Dense Neural Networks (MLPs, etc)"
1126,Recurrent Neural Networks
1126,Convolutional Neural Networks
1128,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1128,Bayesian Approaches
1128,Decision Trees or Random Forests
1128,Linear or Logistic Regression
1129,Bayesian Approaches
1129,Convolutional Neural Networks
1129,Linear or Logistic Regression
1130,Convolutional Neural Networks
1130,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1130,"Autoencoder Networks (DAE, VAE, etc)"
1130,Generative Adversarial Networks
1130,Linear or Logistic Regression
1130,Graph Neural Networks
1130,Decision Trees or Random Forests
1130,Bayesian Approaches
1130,Recurrent Neural Networks
1130,"Dense Neural Networks (MLPs, etc)"
1131,Convolutional Neural Networks
1131,Graph Neural Networks
1132,Convolutional Neural Networks
1132,"Dense Neural Networks (MLPs, etc)"
1133,Linear or Logistic Regression
1133,Convolutional Neural Networks
1134,Decision Trees or Random Forests
1134,Linear or Logistic Regression
1135,Linear or Logistic Regression
1136,Graph Neural Networks
1137,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1137,Linear or Logistic Regression
1137,Decision Trees or Random Forests
1137,"Autoencoder Networks (DAE, VAE, etc)"
1138,Linear or Logistic Regression
1139,Generative Adversarial Networks
1139,Bayesian Approaches
1139,Decision Trees or Random Forests
1139,Convolutional Neural Networks
1139,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1139,Linear or Logistic Regression
1139,Recurrent Neural Networks
1140,Decision Trees or Random Forests
1140,Linear or Logistic Regression
1142,Bayesian Approaches
1142,Other
1142,Decision Trees or Random Forests
1143,Generative Adversarial Networks
1143,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1143,Recurrent Neural Networks
1143,Linear or Logistic Regression
1143,Decision Trees or Random Forests
1143,Convolutional Neural Networks
1144,Decision Trees or Random Forests
1144,Linear or Logistic Regression
1144,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1144,Recurrent Neural Networks
1145,"Transformer Networks (BERT, gpt-3, etc)"
1145,Decision Trees or Random Forests
1145,Linear or Logistic Regression
1145,"Dense Neural Networks (MLPs, etc)"
1145,Convolutional Neural Networks
1145,Recurrent Neural Networks
1146,Bayesian Approaches
1146,Decision Trees or Random Forests
1146,Linear or Logistic Regression
1146,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1148,Linear or Logistic Regression
1148,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1148,Decision Trees or Random Forests
1149,Convolutional Neural Networks
1149,"Transformer Networks (BERT, gpt-3, etc)"
1150,Decision Trees or Random Forests
1150,Linear or Logistic Regression
1150,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1151,Decision Trees or Random Forests
1151,Convolutional Neural Networks
1151,"Dense Neural Networks (MLPs, etc)"
1151,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1152,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1152,Decision Trees or Random Forests
1152,Linear or Logistic Regression
1157,"Transformer Networks (BERT, gpt-3, etc)"
1157,"Dense Neural Networks (MLPs, etc)"
1159,Decision Trees or Random Forests
1160,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1160,Bayesian Approaches
1160,Decision Trees or Random Forests
1160,Linear or Logistic Regression
1161,Bayesian Approaches
1161,Linear or Logistic Regression
1161,Decision Trees or Random Forests
1161,Convolutional Neural Networks
1162,Convolutional Neural Networks
1162,Linear or Logistic Regression
1162,"Dense Neural Networks (MLPs, etc)"
1162,Recurrent Neural Networks
1162,Decision Trees or Random Forests
1167,Linear or Logistic Regression
1168,Linear or Logistic Regression
1168,Decision Trees or Random Forests
1169,Bayesian Approaches
1169,Linear or Logistic Regression
1170,Linear or Logistic Regression
1170,"Dense Neural Networks (MLPs, etc)"
1171,Convolutional Neural Networks
1171,Linear or Logistic Regression
1171,Decision Trees or Random Forests
1172,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1174,Convolutional Neural Networks
1175,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1175,Decision Trees or Random Forests
1175,Linear or Logistic Regression
1175,Graph Neural Networks
1176,Decision Trees or Random Forests
1176,Linear or Logistic Regression
1177,Convolutional Neural Networks
1180,"Autoencoder Networks (DAE, VAE, etc)"
1180,"Dense Neural Networks (MLPs, etc)"
1180,Linear or Logistic Regression
1180,Convolutional Neural Networks
1181,Decision Trees or Random Forests
1181,Bayesian Approaches
1181,Linear or Logistic Regression
1182,"Transformer Networks (BERT, gpt-3, etc)"
1183,Decision Trees or Random Forests
1183,Linear or Logistic Regression
1183,Convolutional Neural Networks
1183,Recurrent Neural Networks
1187,Recurrent Neural Networks
1187,"Transformer Networks (BERT, gpt-3, etc)"
1187,Linear or Logistic Regression
1187,Convolutional Neural Networks
1188,Decision Trees or Random Forests
1188,Bayesian Approaches
1188,Linear or Logistic Regression
1189,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1189,Decision Trees or Random Forests
1190,Decision Trees or Random Forests
1190,Linear or Logistic Regression
1192,Convolutional Neural Networks
1192,Decision Trees or Random Forests
1192,Linear or Logistic Regression
1192,Recurrent Neural Networks
1194,"Dense Neural Networks (MLPs, etc)"
1194,Convolutional Neural Networks
1194,Recurrent Neural Networks
1194,Decision Trees or Random Forests
1194,Linear or Logistic Regression
1195,"Dense Neural Networks (MLPs, etc)"
1195,Decision Trees or Random Forests
1195,Linear or Logistic Regression
1198,Decision Trees or Random Forests
1198,Linear or Logistic Regression
1203,Bayesian Approaches
1203,Decision Trees or Random Forests
1203,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1203,Linear or Logistic Regression
1204,Decision Trees or Random Forests
1204,Linear or Logistic Regression
1204,Convolutional Neural Networks
1208,Decision Trees or Random Forests
1208,Linear or Logistic Regression
1212,Generative Adversarial Networks
1212,Recurrent Neural Networks
1212,Decision Trees or Random Forests
1212,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1212,Bayesian Approaches
1212,Convolutional Neural Networks
1214,Recurrent Neural Networks
1214,"Transformer Networks (BERT, gpt-3, etc)"
1214,"Dense Neural Networks (MLPs, etc)"
1214,Decision Trees or Random Forests
1214,Convolutional Neural Networks
1214,Evolutionary Approaches
1214,Graph Neural Networks
1214,Linear or Logistic Regression
1214,"Autoencoder Networks (DAE, VAE, etc)"
1214,Generative Adversarial Networks
1214,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1214,Bayesian Approaches
1215,Convolutional Neural Networks
1215,Recurrent Neural Networks
1216,Linear or Logistic Regression
1216,Convolutional Neural Networks
1217,"Autoencoder Networks (DAE, VAE, etc)"
1217,Linear or Logistic Regression
1217,Convolutional Neural Networks
1217,"Dense Neural Networks (MLPs, etc)"
1218,"Autoencoder Networks (DAE, VAE, etc)"
1221,Decision Trees or Random Forests
1222,"Transformer Networks (BERT, gpt-3, etc)"
1223,Recurrent Neural Networks
1226,Convolutional Neural Networks
1226,Decision Trees or Random Forests
1226,Recurrent Neural Networks
1228,Linear or Logistic Regression
1228,Decision Trees or Random Forests
1228,Evolutionary Approaches
1228,Convolutional Neural Networks
1228,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1228,Recurrent Neural Networks
1228,Bayesian Approaches
1229,Linear or Logistic Regression
1229,Decision Trees or Random Forests
1231,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1231,"Dense Neural Networks (MLPs, etc)"
1231,Decision Trees or Random Forests
1231,Linear or Logistic Regression
1231,Evolutionary Approaches
1231,Recurrent Neural Networks
1235,Linear or Logistic Regression
1235,Decision Trees or Random Forests
1237,Decision Trees or Random Forests
1237,Linear or Logistic Regression
1237,"Dense Neural Networks (MLPs, etc)"
1237,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1241,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1241,Bayesian Approaches
1241,"Dense Neural Networks (MLPs, etc)"
1241,Recurrent Neural Networks
1241,Linear or Logistic Regression
1241,Decision Trees or Random Forests
1241,Convolutional Neural Networks
1245,Linear or Logistic Regression
1245,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1245,Decision Trees or Random Forests
1249,Bayesian Approaches
1249,Linear or Logistic Regression
1250,Decision Trees or Random Forests
1251,Linear or Logistic Regression
1251,Decision Trees or Random Forests
1251,Recurrent Neural Networks
1251,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1251,Convolutional Neural Networks
1252,"Transformer Networks (BERT, gpt-3, etc)"
1252,"Dense Neural Networks (MLPs, etc)"
1252,Recurrent Neural Networks
1252,"Autoencoder Networks (DAE, VAE, etc)"
1252,Convolutional Neural Networks
1252,Linear or Logistic Regression
1252,Decision Trees or Random Forests
1252,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1254,Recurrent Neural Networks
1254,Linear or Logistic Regression
1254,Convolutional Neural Networks
1254,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1254,Decision Trees or Random Forests
1258,Linear or Logistic Regression
1258,"Dense Neural Networks (MLPs, etc)"
1258,Recurrent Neural Networks
1258,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1258,Bayesian Approaches
1258,Decision Trees or Random Forests
1258,"Transformer Networks (BERT, gpt-3, etc)"
1260,Convolutional Neural Networks
1260,Linear or Logistic Regression
1260,Decision Trees or Random Forests
1263,Linear or Logistic Regression
1263,"Transformer Networks (BERT, gpt-3, etc)"
1264,"Transformer Networks (BERT, gpt-3, etc)"
1264,"Dense Neural Networks (MLPs, etc)"
1266,Linear or Logistic Regression
1266,Bayesian Approaches
1266,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1266,Decision Trees or Random Forests
1267,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1267,Decision Trees or Random Forests
1267,Convolutional Neural Networks
1267,Linear or Logistic Regression
1267,Generative Adversarial Networks
1267,Recurrent Neural Networks
1267,"Dense Neural Networks (MLPs, etc)"
1268,Linear or Logistic Regression
1268,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1268,Decision Trees or Random Forests
1270,Recurrent Neural Networks
1270,"Autoencoder Networks (DAE, VAE, etc)"
1270,"Dense Neural Networks (MLPs, etc)"
1270,Convolutional Neural Networks
1272,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1272,Decision Trees or Random Forests
1273,Decision Trees or Random Forests
1273,Linear or Logistic Regression
1275,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1275,Linear or Logistic Regression
1275,Decision Trees or Random Forests
1277,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1277,Decision Trees or Random Forests
1278,Linear or Logistic Regression
1278,"Dense Neural Networks (MLPs, etc)"
1278,Bayesian Approaches
1278,Convolutional Neural Networks
1279,Bayesian Approaches
1279,Decision Trees or Random Forests
1279,Linear or Logistic Regression
1280,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1280,Recurrent Neural Networks
1280,Linear or Logistic Regression
1280,"Dense Neural Networks (MLPs, etc)"
1280,Decision Trees or Random Forests
1282,Linear or Logistic Regression
1282,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1282,Graph Neural Networks
1282,"Dense Neural Networks (MLPs, etc)"
1282,Recurrent Neural Networks
1282,Convolutional Neural Networks
1282,"Autoencoder Networks (DAE, VAE, etc)"
1282,Evolutionary Approaches
1282,"Transformer Networks (BERT, gpt-3, etc)"
1282,Generative Adversarial Networks
1282,Bayesian Approaches
1282,Decision Trees or Random Forests
1283,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1286,Decision Trees or Random Forests
1286,Graph Neural Networks
1287,Bayesian Approaches
1287,Convolutional Neural Networks
1287,Decision Trees or Random Forests
1287,Linear or Logistic Regression
1288,"Dense Neural Networks (MLPs, etc)"
1288,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1288,Convolutional Neural Networks
1288,Graph Neural Networks
1288,Linear or Logistic Regression
1288,Decision Trees or Random Forests
1290,Linear or Logistic Regression
1290,Generative Adversarial Networks
1290,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1290,Recurrent Neural Networks
1290,Decision Trees or Random Forests
1290,Bayesian Approaches
1290,Graph Neural Networks
1290,"Autoencoder Networks (DAE, VAE, etc)"
1291,Decision Trees or Random Forests
1292,Bayesian Approaches
1292,Graph Neural Networks
1292,Convolutional Neural Networks
1294,Linear or Logistic Regression
1294,Decision Trees or Random Forests
1294,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1298,Decision Trees or Random Forests
1298,Generative Adversarial Networks
1298,"Autoencoder Networks (DAE, VAE, etc)"
1298,Convolutional Neural Networks
1298,Evolutionary Approaches
1298,Graph Neural Networks
1298,"Transformer Networks (BERT, gpt-3, etc)"
1298,"Dense Neural Networks (MLPs, etc)"
1298,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1298,Recurrent Neural Networks
1298,Linear or Logistic Regression
1302,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1302,Decision Trees or Random Forests
1302,Recurrent Neural Networks
1302,Linear or Logistic Regression
1304,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1304,Decision Trees or Random Forests
1304,"Dense Neural Networks (MLPs, etc)"
1304,Linear or Logistic Regression
1305,Convolutional Neural Networks
1305,"Transformer Networks (BERT, gpt-3, etc)"
1305,"Dense Neural Networks (MLPs, etc)"
1305,Linear or Logistic Regression
1306,Bayesian Approaches
1306,Linear or Logistic Regression
1306,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1306,Decision Trees or Random Forests
1307,"Dense Neural Networks (MLPs, etc)"
1307,Linear or Logistic Regression
1309,Decision Trees or Random Forests
1309,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1309,Linear or Logistic Regression
1310,Convolutional Neural Networks
1310,Linear or Logistic Regression
1313,Decision Trees or Random Forests
1313,Recurrent Neural Networks
1313,"Autoencoder Networks (DAE, VAE, etc)"
1313,"Dense Neural Networks (MLPs, etc)"
1318,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1318,Decision Trees or Random Forests
1318,Convolutional Neural Networks
1319,Linear or Logistic Regression
1319,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1319,Decision Trees or Random Forests
1321,"Transformer Networks (BERT, gpt-3, etc)"
1321,Bayesian Approaches
1321,Other
1321,Decision Trees or Random Forests
1321,Linear or Logistic Regression
1321,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1322,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1322,Convolutional Neural Networks
1322,Recurrent Neural Networks
1322,Linear or Logistic Regression
1322,Decision Trees or Random Forests
1323,Linear or Logistic Regression
1323,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1323,Decision Trees or Random Forests
1324,Linear or Logistic Regression
1324,Graph Neural Networks
1324,Bayesian Approaches
1325,"Dense Neural Networks (MLPs, etc)"
1325,Convolutional Neural Networks
1326,Decision Trees or Random Forests
1326,Recurrent Neural Networks
1328,Linear or Logistic Regression
1329,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1330,Linear or Logistic Regression
1330,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1330,Decision Trees or Random Forests
1331,Convolutional Neural Networks
1331,"Dense Neural Networks (MLPs, etc)"
1331,Linear or Logistic Regression
1332,"Transformer Networks (BERT, gpt-3, etc)"
1332,Linear or Logistic Regression
1332,"Dense Neural Networks (MLPs, etc)"
1332,Convolutional Neural Networks
1333,Convolutional Neural Networks
1333,"Transformer Networks (BERT, gpt-3, etc)"
1333,Decision Trees or Random Forests
1333,Linear or Logistic Regression
1333,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1334,Linear or Logistic Regression
1334,"Dense Neural Networks (MLPs, etc)"
1334,"Transformer Networks (BERT, gpt-3, etc)"
1335,"Dense Neural Networks (MLPs, etc)"
1335,Linear or Logistic Regression
1335,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1335,Convolutional Neural Networks
1335,Decision Trees or Random Forests
1335,Bayesian Approaches
1335,Recurrent Neural Networks
1337,Linear or Logistic Regression
1337,Decision Trees or Random Forests
1337,Convolutional Neural Networks
1337,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1337,Bayesian Approaches
1338,Linear or Logistic Regression
1338,Other
1340,Linear or Logistic Regression
1340,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1340,Decision Trees or Random Forests
1340,Recurrent Neural Networks
1340,Bayesian Approaches
1342,Linear or Logistic Regression
1345,Linear or Logistic Regression
1345,Decision Trees or Random Forests
1345,Recurrent Neural Networks
1346,Linear or Logistic Regression
1346,Convolutional Neural Networks
1346,"Dense Neural Networks (MLPs, etc)"
1346,Recurrent Neural Networks
1346,Graph Neural Networks
1347,Convolutional Neural Networks
1347,Bayesian Approaches
1347,"Dense Neural Networks (MLPs, etc)"
1347,Linear or Logistic Regression
1348,Linear or Logistic Regression
1348,Other
1348,Decision Trees or Random Forests
1348,Bayesian Approaches
1349,Generative Adversarial Networks
1349,"Autoencoder Networks (DAE, VAE, etc)"
1349,Convolutional Neural Networks
1350,Linear or Logistic Regression
1350,Decision Trees or Random Forests
1350,Convolutional Neural Networks
1352,Other
1353,Decision Trees or Random Forests
1353,Bayesian Approaches
1353,Linear or Logistic Regression
1353,Convolutional Neural Networks
1355,"Transformer Networks (BERT, gpt-3, etc)"
1355,Convolutional Neural Networks
1355,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1355,Decision Trees or Random Forests
1355,"Dense Neural Networks (MLPs, etc)"
1355,Linear or Logistic Regression
1356,Linear or Logistic Regression
1356,Other
1358,Linear or Logistic Regression
1358,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1358,Decision Trees or Random Forests
1359,Decision Trees or Random Forests
1359,Convolutional Neural Networks
1360,Linear or Logistic Regression
1360,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1360,Decision Trees or Random Forests
1362,Decision Trees or Random Forests
1362,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1362,"Dense Neural Networks (MLPs, etc)"
1362,Linear or Logistic Regression
1362,Convolutional Neural Networks
1363,Decision Trees or Random Forests
1363,Linear or Logistic Regression
1365,Recurrent Neural Networks
1365,Other
1365,Convolutional Neural Networks
1365,Decision Trees or Random Forests
1366,Linear or Logistic Regression
1366,Decision Trees or Random Forests
1371,Linear or Logistic Regression
1371,"Dense Neural Networks (MLPs, etc)"
1371,Convolutional Neural Networks
1371,Generative Adversarial Networks
1371,Recurrent Neural Networks
1371,Decision Trees or Random Forests
1373,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
1373,Decision Trees or Random Forests
1374,Linear or Logistic Regression
