id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
3780,35-44,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
3781,18-24,man,Bangladesh,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3782,25-34,man,Italy,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3783,35-44,man,United States of America,Yes,university educated,0-3 years,unknown,unknown/unemployed,
3784,25-34,man,India,No,university educated,0-3 years,unknown,unknown/unemployed,
3785,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3786,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
3787,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3788,35-44,man,Australia,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
3789,18-24,man,Ethiopia,Yes,unknown,unknown,unknown,unknown/unemployed,
3790,25-34,man,Ethiopia,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3791,18-24,man,China,Yes,university educated,0-3 years,unknown,unknown/unemployed,
3792,18-24,man,Viet Nam,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3793,45-54,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
3794,35-44,man,Turkey,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
3795,18-24,woman,Malaysia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3796,18-24,man,Japan,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3797,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
3798,25-34,man,Egypt,No,university educated,none,unknown,data role,"under $30,000"
3799,55+,man,Italy,No,university educated,10+ years,2-5 years,non data role,"under $30,000"
3800,18-24,woman,Indonesia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3801,18-24,man,China,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3802,45-54,man,France,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
3803,18-24,man,China,No,university educated,3-10 years,unknown,unknown/unemployed,
3804,25-34,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3805,35-44,man,Israel,No,university educated,10+ years,5+ years,data role,"$125,000+"
3806,45-54,woman,Japan,No,unknown,3-10 years,unknown,unknown/unemployed,
3807,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3808,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
3809,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
3810,45-54,man,India,No,university educated,3-10 years,0-2 years,data role,"$70,000-$124,999"
3811,45-54,man,France,No,university educated,10+ years,2-5 years,non data role,"under $30,000"
3812,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3813,18-24,man,Kenya,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3814,25-34,woman,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3815,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3816,55+,other,United States of America,No,university educated,10+ years,2-5 years,unknown/unemployed,
3817,25-34,man,Argentina,No,no university,none,unknown,data role,"under $30,000"
3818,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3819,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
3820,18-24,man,Ghana,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
3821,35-44,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
3822,25-34,woman,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
3823,18-24,man,Egypt,Yes,university educated,0-3 years,none,unknown/unemployed,
3824,25-34,man,Ghana,No,university educated,3-10 years,unknown,unknown/unemployed,
3825,35-44,man,United States of America,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
3826,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3827,35-44,man,India,No,university educated,none,unknown,non data role,"$70,000-$124,999"
3828,25-34,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3829,35-44,woman,India,No,university educated,none,unknown,non data role,"under $30,000"
3830,45-54,man,Japan,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
3831,25-34,woman,Egypt,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3832,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
3833,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
3834,18-24,man,China,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
3835,35-44,man,Other,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
3836,18-24,man,India,Yes,no university,none,unknown,unknown/unemployed,
3837,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
3838,35-44,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,2-5 years,data role,"$70,000-$124,999"
3839,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3840,25-34,man,Australia,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3841,25-34,man,Other,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
3842,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3843,35-44,man,France,No,university educated,10+ years,5+ years,unknown/unemployed,
3844,18-24,woman,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
3845,45-54,man,Colombia,Yes,no university,0-3 years,none,unknown/unemployed,
3846,18-24,man,Canada,No,university educated,0-3 years,unknown,unknown/unemployed,
3847,25-34,woman,Argentina,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3848,35-44,man,Pakistan,No,university educated,none,unknown,non data role,"under $30,000"
3849,18-24,woman,India,Yes,unknown,unknown,unknown,unknown/unemployed,
3850,55+,man,Brazil,Yes,no university,0-3 years,2-5 years,unknown/unemployed,
3851,18-24,man,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
3852,25-34,man,China,No,no university,unknown,unknown,unknown/unemployed,
3853,18-24,woman,India,Yes,unknown,none,unknown,unknown/unemployed,
3854,35-44,woman,France,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3855,55+,man,Brazil,No,university educated,10+ years,2-5 years,data role,"under $30,000"
3856,55+,man,United States of America,No,university educated,3-10 years,5+ years,data role,"$125,000+"
3857,45-54,woman,Brazil,No,unknown,none,unknown,non data role,"under $30,000"
3858,25-34,man,Ethiopia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3859,35-44,man,India,No,university educated,none,unknown,non data role,"under $30,000"
3860,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
3861,25-34,man,Russia,No,no university,0-3 years,none,data role,"under $30,000"
3862,18-24,woman,Malaysia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3863,18-24,woman,India,Yes,unknown,3-10 years,0-2 years,unknown/unemployed,
3864,45-54,man,Portugal,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
3865,25-34,man,India,Yes,university educated,none,unknown,unknown/unemployed,
3866,25-34,woman,Russia,No,university educated,3-10 years,0-2 years,non data role,
3867,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
3868,25-34,man,Ethiopia,No,unknown,unknown,unknown,unknown/unemployed,
3869,35-44,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3870,45-54,man,Peru,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
3871,35-44,man,India,No,university educated,10+ years,0-2 years,data role,"under $30,000"
3872,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3873,18-24,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
3874,55+,man,Portugal,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3875,18-24,woman,India,No,university educated,0-3 years,none,unknown/unemployed,
3876,45-54,man,Indonesia,No,university educated,0-3 years,unknown,unknown/unemployed,
3877,25-34,man,Bangladesh,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3878,35-44,woman,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3879,18-24,man,Portugal,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3880,25-34,man,India,No,university educated,0-3 years,none,unknown/unemployed,
3881,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
3882,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3883,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3884,25-34,man,Nepal,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
3885,18-24,man,Peru,Yes,unknown,unknown,unknown,unknown/unemployed,
3886,25-34,man,Bangladesh,Yes,university educated,none,unknown,unknown/unemployed,
3887,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3888,25-34,woman,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
3889,25-34,man,India,No,university educated,none,unknown,data role,"under $30,000"
3890,55+,man,United States of America,No,university educated,10+ years,2-5 years,non data role,"$125,000+"
3891,35-44,woman,Canada,No,university educated,10+ years,5+ years,non data role,"under $30,000"
3892,18-24,man,Italy,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3893,18-24,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3894,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3895,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
3896,55+,man,United States of America,No,university educated,0-3 years,none,unknown/unemployed,
3897,25-34,man,Brazil,No,university educated,10+ years,5+ years,non data role,"under $30,000"
3898,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3899,35-44,man,Spain,No,university educated,10+ years,2-5 years,data role,"$30,000-$69,999"
3900,25-34,man,Brazil,Yes,university educated,0-3 years,none,unknown/unemployed,
3901,45-54,man,Zimbabwe,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
3902,18-24,woman,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3903,18-24,man,Bangladesh,Yes,university educated,0-3 years,none,unknown/unemployed,
3904,25-34,man,Canada,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3905,18-24,woman,India,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
3906,18-24,man,Viet Nam,Yes,no university,0-3 years,unknown,unknown/unemployed,
3907,35-44,woman,India,No,university educated,0-3 years,2-5 years,non data role,
3908,55+,man,Netherlands,No,university educated,10+ years,2-5 years,data role,"$70,000-$124,999"
3909,18-24,man,Mexico,Yes,university educated,0-3 years,none,unknown/unemployed,
3910,35-44,woman,Turkey,Yes,university educated,0-3 years,unknown,unknown/unemployed,
3911,35-44,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
3912,18-24,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3913,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
3914,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3915,18-24,man,Pakistan,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3916,45-54,man,Chile,No,unknown,none,unknown,non data role,"under $30,000"
3917,18-24,man,Indonesia,Yes,university educated,0-3 years,none,unknown/unemployed,
3918,18-24,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3919,18-24,woman,India,Yes,unknown,0-3 years,none,unknown/unemployed,
3920,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3921,25-34,man,Kenya,Yes,university educated,0-3 years,none,unknown/unemployed,
3922,35-44,man,Brazil,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
3923,18-24,man,Philippines,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3924,25-34,man,Egypt,No,university educated,none,unknown,data role,"under $30,000"
3925,25-34,woman,India,No,unknown,none,unknown,non data role,"under $30,000"
3926,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3927,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
3928,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3929,25-34,woman,India,No,unknown,none,unknown,data role,
3930,25-34,man,Cameroon,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3931,25-34,man,Viet Nam,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
3932,25-34,woman,China,No,university educated,0-3 years,none,non data role,"$70,000-$124,999"
3933,18-24,man,Other,No,university educated,0-3 years,unknown,unknown/unemployed,
3934,35-44,man,Nigeria,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
3935,35-44,other,Viet Nam,No,no university,0-3 years,unknown,unknown/unemployed,
3936,35-44,man,India,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
3937,35-44,man,India,No,university educated,3-10 years,2-5 years,non data role,"$30,000-$69,999"
3938,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3939,18-24,man,Netherlands,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3940,25-34,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
3941,18-24,woman,Other,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3942,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
3943,25-34,other,India,No,unknown,none,unknown,unknown/unemployed,
3944,25-34,woman,Pakistan,No,university educated,3-10 years,2-5 years,unknown/unemployed,
3945,18-24,woman,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
3946,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,
3947,25-34,woman,United States of America,No,university educated,0-3 years,0-2 years,non data role,
3948,18-24,man,China,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
3949,25-34,woman,Other,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
3950,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
3951,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3952,18-24,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3953,18-24,other,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3954,55+,man,Other,Yes,university educated,10+ years,none,unknown/unemployed,
3955,18-24,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3956,18-24,woman,India,No,university educated,3-10 years,2-5 years,data role,
3957,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
3958,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
3959,25-34,man,Taiwan,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
3960,35-44,woman,India,No,university educated,0-3 years,0-2 years,data role,
3961,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3962,55+,man,United States of America,No,university educated,3-10 years,unknown,unknown/unemployed,
3963,18-24,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3964,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3965,25-34,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
3966,25-34,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3967,25-34,man,Poland,No,university educated,10+ years,5+ years,non data role,"$30,000-$69,999"
3968,35-44,woman,Japan,Yes,unknown,unknown,unknown,unknown/unemployed,
3969,25-34,woman,"Iran, Islamic Republic of...",Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3970,18-24,woman,India,No,university educated,none,unknown,data role,"under $30,000"
3971,18-24,woman,Taiwan,Yes,no university,0-3 years,none,unknown/unemployed,
3972,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
3973,25-34,man,Other,No,unknown,0-3 years,none,non data role,"under $30,000"
3974,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3975,18-24,other,United States of America,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
3976,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3977,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
3978,35-44,man,Thailand,Yes,university educated,3-10 years,5+ years,unknown/unemployed,
3979,35-44,man,Singapore,No,university educated,10+ years,0-2 years,data role,"$70,000-$124,999"
3980,25-34,woman,Russia,No,no university,0-3 years,0-2 years,data role,
3981,25-34,man,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
3982,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
3983,25-34,man,Nigeria,No,university educated,0-3 years,unknown,unknown/unemployed,
3984,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
3985,35-44,man,Spain,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
3986,35-44,man,United States of America,No,university educated,3-10 years,none,data role,"$125,000+"
3987,18-24,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
3988,18-24,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
3989,55+,man,Canada,No,university educated,0-3 years,0-2 years,unknown/unemployed,
3990,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3991,45-54,woman,United States of America,No,university educated,10+ years,unknown,unknown/unemployed,
3992,18-24,man,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
3993,25-34,man,Canada,Yes,university educated,3-10 years,5+ years,unknown/unemployed,
3994,35-44,man,Italy,No,university educated,10+ years,5+ years,data role,
3995,35-44,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
3996,35-44,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
3997,35-44,man,United States of America,No,university educated,3-10 years,0-2 years,non data role,"$70,000-$124,999"
3998,25-34,woman,Nigeria,Yes,unknown,none,unknown,unknown/unemployed,
3999,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4000,55+,man,United States of America,No,university educated,10+ years,5+ years,data role,"under $30,000"
4001,25-34,woman,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4002,35-44,woman,India,No,unknown,10+ years,none,non data role,"under $30,000"
4003,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4004,18-24,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4005,18-24,man,Ghana,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4006,55+,man,India,No,university educated,3-10 years,none,data role,"under $30,000"
4007,18-24,man,United States of America,Yes,no university,0-3 years,none,unknown/unemployed,
4008,18-24,man,Other,No,unknown,unknown,unknown,unknown/unemployed,
4009,45-54,man,Spain,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
4010,25-34,man,India,No,university educated,0-3 years,2-5 years,data role,"under $30,000"
4011,45-54,man,Mexico,No,university educated,10+ years,5+ years,non data role,"$30,000-$69,999"
4012,25-34,man,Kenya,Yes,no university,0-3 years,unknown,unknown/unemployed,
4013,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4014,18-24,man,Brazil,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
4015,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4016,25-34,woman,India,No,university educated,none,unknown,unknown/unemployed,
4017,18-24,man,Russia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4018,25-34,man,Egypt,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4019,45-54,man,Chile,No,university educated,3-10 years,5+ years,data role,"under $30,000"
4020,25-34,man,Turkey,No,university educated,0-3 years,none,data role,"under $30,000"
4021,35-44,woman,United States of America,No,university educated,3-10 years,5+ years,non data role,"$125,000+"
4022,45-54,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4023,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4024,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
4025,35-44,woman,Pakistan,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
4026,45-54,man,Singapore,No,university educated,0-3 years,0-2 years,non data role,"$125,000+"
4027,25-34,man,Bangladesh,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
4028,25-34,man,Viet Nam,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
4029,25-34,man,India,No,university educated,3-10 years,5+ years,data role,
4030,18-24,man,South Korea,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4031,35-44,woman,Netherlands,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
4032,25-34,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4033,35-44,man,India,No,university educated,0-3 years,2-5 years,data role,
4034,18-24,man,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4035,25-34,man,China,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4036,55+,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,none,unknown,non data role,
4037,35-44,man,Japan,No,no university,0-3 years,0-2 years,non data role,"$30,000-$69,999"
4038,18-24,man,India,No,university educated,3-10 years,unknown,unknown/unemployed,
4039,35-44,man,France,No,university educated,10+ years,2-5 years,non data role,"$70,000-$124,999"
4040,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4041,25-34,man,Nepal,No,university educated,none,unknown,non data role,"$30,000-$69,999"
4042,18-24,man,Pakistan,Yes,university educated,0-3 years,unknown,unknown/unemployed,
4043,18-24,other,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
4044,25-34,woman,India,No,university educated,0-3 years,unknown,unknown/unemployed,
4045,35-44,man,India,No,university educated,3-10 years,none,data role,"under $30,000"
4046,18-24,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
4047,35-44,man,India,No,university educated,10+ years,2-5 years,non data role,"under $30,000"
4048,45-54,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4049,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4050,25-34,man,Brazil,No,university educated,0-3 years,0-2 years,non data role,
4051,18-24,man,United States of America,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4052,18-24,man,India,Yes,no university,0-3 years,none,unknown/unemployed,
4053,35-44,man,South Korea,No,unknown,10+ years,2-5 years,unknown/unemployed,
4054,18-24,man,Italy,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4055,45-54,man,Taiwan,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
4056,25-34,woman,Canada,No,university educated,0-3 years,0-2 years,non data role,"$30,000-$69,999"
4057,25-34,woman,Russia,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
4058,35-44,man,United States of America,No,university educated,10+ years,0-2 years,data role,
4059,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4060,35-44,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,2-5 years,data role,"$70,000-$124,999"
4061,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
4062,45-54,man,Italy,No,unknown,0-3 years,none,unknown/unemployed,
4063,18-24,man,Morocco,Yes,university educated,0-3 years,none,unknown/unemployed,
4064,35-44,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4065,45-54,woman,United States of America,No,university educated,3-10 years,0-2 years,unknown/unemployed,
4066,45-54,man,United States of America,No,university educated,10+ years,2-5 years,data role,"$125,000+"
4067,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4068,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4069,25-34,man,Other,No,university educated,3-10 years,2-5 years,non data role,
4070,25-34,man,South Korea,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
4071,35-44,man,Bangladesh,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4072,25-34,man,India,No,university educated,0-3 years,none,non data role,"under $30,000"
4073,18-24,man,India,No,university educated,0-3 years,2-5 years,data role,
4074,25-34,man,Brazil,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
4075,18-24,other,Bangladesh,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4076,18-24,woman,Taiwan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4077,45-54,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
4078,25-34,man,Australia,No,no university,3-10 years,2-5 years,non data role,"$125,000+"
4079,25-34,man,Brazil,No,university educated,3-10 years,0-2 years,data role,"$30,000-$69,999"
4080,25-34,woman,Poland,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
4081,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
4082,35-44,man,Nigeria,Yes,unknown,unknown,unknown,unknown/unemployed,
4083,25-34,man,India,No,university educated,3-10 years,2-5 years,unknown/unemployed,
4084,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
4085,35-44,man,Egypt,Yes,university educated,0-3 years,none,unknown/unemployed,
4086,25-34,man,United States of America,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
4087,35-44,woman,Other,No,no university,3-10 years,0-2 years,unknown/unemployed,
4088,25-34,woman,Pakistan,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
4089,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
4090,25-34,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4091,25-34,woman,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4092,25-34,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,2-5 years,data role,"$70,000-$124,999"
4093,35-44,man,Saudi Arabia,No,university educated,0-3 years,unknown,unknown/unemployed,
4094,25-34,man,India,No,unknown,0-3 years,2-5 years,data role,
4095,18-24,man,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4096,35-44,man,Brazil,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
4097,55+,man,Israel,No,unknown,10+ years,2-5 years,data role,"$125,000+"
4098,35-44,man,Nigeria,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
4099,25-34,man,India,No,unknown,3-10 years,0-2 years,non data role,"under $30,000"
4100,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4101,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4102,25-34,man,Pakistan,No,university educated,0-3 years,none,non data role,"$30,000-$69,999"
4103,35-44,man,India,No,university educated,none,unknown,non data role,"under $30,000"
4104,25-34,man,Other,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4105,18-24,man,India,No,unknown,none,unknown,unknown/unemployed,
4106,25-34,woman,Kenya,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
4107,18-24,man,Brazil,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4108,25-34,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
4109,25-34,woman,Canada,Yes,university educated,unknown,unknown,unknown/unemployed,
4110,35-44,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
4111,25-34,man,Indonesia,No,university educated,0-3 years,unknown,unknown/unemployed,
4112,35-44,man,Other,Yes,university educated,none,unknown,unknown/unemployed,
4113,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
4114,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
4115,25-34,man,India,No,university educated,0-3 years,unknown,unknown/unemployed,
4116,25-34,man,United States of America,No,university educated,3-10 years,0-2 years,non data role,"$125,000+"
